-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_8(8)         0.00%       0.000us         0.00%       0.000us       0.000us        4.132s       336.95%        4.132s      70.027ms            59  
                                      vllm::moe_forward        43.75%        2.571s        57.15%        3.359s       2.058ms     767.468ms        62.59%     849.544ms     520.554us          1632  
_matmul_ogs_NNT_bf16xbf16xmxfp4_128x256x128x1_swiglu...         0.00%       0.000us         0.00%       0.000us       0.000us     358.703ms        29.25%     358.703ms       2.989ms           120  
               execute_context_3(16380)_generation_4(4)         0.00%       0.000us         0.00%       0.000us       0.000us     230.065ms        18.76%     230.065ms     230.065ms             1  
               execute_context_3(16382)_generation_2(2)         0.00%       0.000us         0.00%       0.000us       0.000us     229.408ms        18.71%     229.408ms     229.408ms             1  
               execute_context_2(16383)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     229.235ms        18.70%     229.235ms     229.235ms             1  
          _matmul_ogs_NNT_bf16xbf16xmxfp4_128x256x128x1         0.00%       0.000us         0.00%       0.000us       0.000us     190.227ms        15.51%     190.227ms       1.585ms           120  
                   execute_context_0(0)_generation_7(7)         0.00%       0.000us         0.00%       0.000us       0.000us     170.968ms        13.94%     170.968ms     170.968ms             1  
                                       _vllm_fa3_C::fwd         0.73%      43.191ms         1.74%     102.353ms      62.716us     163.924ms        13.37%     166.406ms     101.964us          1632  
                                            aten::addmm         2.70%     158.376ms         4.36%     255.939ms      75.632us     152.639ms        12.45%     153.768ms      45.440us          3384  
                execute_context_2(8199)_generation_6(6)         0.00%       0.000us         0.00%       0.000us       0.000us     144.958ms        11.82%     144.958ms     144.958ms             1  
                execute_context_1(8192)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     128.929ms        10.51%     128.929ms     128.929ms             1  
                                                _reduce         0.00%       0.000us         0.00%       0.000us       0.000us     108.074ms         8.81%     108.074ms      66.222us          1632  
         nvjet_tst_192x192_64x4_1x2_h_bz_coopB_bias_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     106.762ms         8.71%     106.762ms     444.843us           240  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us     100.978ms         8.24%     100.978ms       1.683ms            60  
                   execute_context_0(0)_generation_4(4)         0.00%       0.000us         0.00%       0.000us       0.000us      69.204ms         5.64%      69.204ms      69.204ms             1  
                   execute_context_0(0)_generation_6(6)         0.00%       0.000us         0.00%       0.000us       0.000us      69.174ms         5.64%      69.174ms      69.174ms             1  
                   execute_context_0(0)_generation_2(2)         0.00%       0.000us         0.00%       0.000us       0.000us      68.986ms         5.63%      68.986ms      68.986ms             1  
