-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_4(4)         0.00%       0.000us         0.00%       0.000us       0.000us        4.667s       128.43%        4.667s      83.338ms            56  
                                      vllm::moe_forward        34.84%        2.972s        45.76%        3.903s       2.258ms        1.379s        37.95%        1.401s     810.825us          1728  
                                       _vllm_fa3_C::fwd         0.12%      10.307ms         0.25%      21.000ms      97.223us     830.466ms        22.85%     831.325ms       3.849ms           216  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us     799.397ms        22.00%     799.397ms       8.327ms            96  
               execute_context_1(16383)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     763.382ms        21.01%     763.382ms     381.691ms             2  
                    vllm::unified_attention_with_output         5.61%     478.377ms        34.18%        2.915s       1.687ms     758.733ms        20.88%        1.700s     983.960us          1728  
               execute_context_1(16384)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     756.464ms        20.82%     756.464ms     378.232ms             2  
_matmul_ogs_NNT_bf16xbf16xmxfp4_128x256x128x1_swiglu...         0.00%       0.000us         0.00%       0.000us       0.000us     708.735ms        19.50%     708.735ms       3.691ms           192  
                                    _tq_split_kv_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     586.038ms        16.13%     586.038ms     387.591us          1512  
               execute_context_1(16381)_generation_3(3)         0.00%       0.000us         0.00%       0.000us       0.000us     444.877ms        12.24%     444.877ms     444.877ms             1  
               execute_context_1(16382)_generation_2(2)         0.00%       0.000us         0.00%       0.000us       0.000us     440.397ms        12.12%     440.397ms     440.397ms             1  
          _matmul_ogs_NNT_bf16xbf16xmxfp4_128x256x128x1         0.00%       0.000us         0.00%       0.000us       0.000us     374.869ms        10.32%     374.869ms       1.952ms           192  
               execute_context_2(16383)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     347.032ms         9.55%     347.032ms     347.032ms             1  
               execute_context_2(16382)_generation_2(2)         0.00%       0.000us         0.00%       0.000us       0.000us     342.517ms         9.43%     342.517ms     342.517ms             1  
                                            aten::addmm         2.39%     203.645ms         3.09%     263.241ms      72.160us     264.978ms         7.29%     265.036ms      72.652us          3648  
                   execute_context_0(0)_generation_3(3)         0.00%       0.000us         0.00%       0.000us       0.000us     262.371ms         7.22%     262.371ms      87.457ms             3  
         nvjet_tst_192x192_64x4_1x2_h_bz_coopB_bias_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     214.359ms         5.90%     214.359ms     558.228us           384  
                                                _reduce         0.00%       0.000us         0.00%       0.000us       0.000us     184.916ms         5.09%     184.916ms     107.011us          1728  
